TreeID,Position_X,Position_Y,Crown,Height
0.0,526014.002,4694134.065,2.9622499998658895,18.103
1.0,526032.889,4694135.477,9.931749999988824,17.272
2.0,526038.366,4694104.327,3.412000000011176,17.596
3.0,526029.52,4694111.593,3.6870000001508743,14.957999999999998
4.0,526024.557,4694127.977,2.0007500001229346,14.545000000000002
5.0,526046.108,4694141.132,2.7744999998249114,21.029
6.0,526047.301,4694131.109,2.6365000000223517,19.822
7.0,526021.835,4694118.218,2.9355000001378357,13.152999999999999
8.0,526024.769,4694108.556,2.8387500001117587,16.5
9.0,526036.097,4694128.648,2.7167500001378357,19.512
10.0,526035.932,4694122.538,2.578749999869615,16.459
11.0,526034.266,4694136.606,3.326249999925494,19.36
12.0,526042.177,4694135.235,2.96349999983795,19.459
13.0,526003.326,4694111.501,2.9262500000186265,16.715
14.0,526039.429,4694140.963,3.0834999999497086,18.78
15.0,526042.939,4694109.757,2.8760000001639128,16.778
16.0,526031.469,4694125.505,2.9299999999348074,16.598
17.0,526031.632,4694148.247,2.956000000005588,23.253
18.0,526037.055,4694145.543,3.4007499997969717,21.709
19.0,526017.549,4694112.592,2.9329999999608845,16.851
20.0,526003.875,4694141.901,2.9592499998398125,18.709
21.0,526033.667,4694137.211,3.425000000046566,20.914
22.0,526003.567,4694120.214,3.0494999999646097,17.52
23.0,526008.574,4694149.924,3.0190000000875443,20.666
24.0,526018.923,4694147.587,2.6114999998826534,21.396
25.0,526015.681,4694140.342,2.8885000001173466,18.869
26.0,526003.262,4694100.875,2.760749999899417,19.029
27.0,526045.131,4694145.098,2.569999999832362,22.0
28.0,526021.841,4694135.788,2.456000000005588,19.264
29.0,526047.211,4694131.121,3.1447499999776483,19.628
30.0,526048.758,4694121.414,2.602750000078231,19.295
31.0,526002.252,4694120.857,2.887749999994412,20.168
32.0,526009.68,4694103.096,2.8395000000018626,18.962
33.0,526019.326,4694132.973,2.141249999869615,18.713
34.0,526025.757,4694103.621,2.8634999999776483,18.086
35.0,526002.461,4694129.471,3.3707500000018626,16.991
36.0,526049.286,4694125.353,2.8327500000596046,21.086
37.0,526043.965,4694124.797,2.2992499999236315,19.103
38.0,526002.149,4694120.639,2.518750000046566,20.414
39.0,526019.863,4694123.097,3.5324999999720603,13.81
40.0,526024.83,4694147.052,2.462999999988824,18.76
41.0,526006.797,4694144.307,2.807750000152737,20.834
42.0,526027.256,4694147.913,1.443500000052154,20.237
43.0,526020.313,4694100.743,2.2832499998621643,17.726
44.0,526009.354,4694110.205,2.945750000188127,16.528
45.0,526017.137,4694129.369,2.777500000083819,16.341
46.0,526035.004,4694110.153,2.349500000011176,16.865
47.0,526030.252,4694111.344,2.504499999806285,16.428
48.0,526013.795,4694106.927,2.5052499999292195,16.113
49.0,526019.778,4694145.788,2.6792500000447035,18.596
50.0,526015.483,4694119.569,2.38149999990128,14.117
51.0,526036.442,4694122.33,2.208000000100583,17.093
52.0,526049.833,4694140.654,2.3364999999757856,21.105
53.0,526030.741,4694106.713,2.326249999925494,16.769
54.0,526017.706,4694112.894,2.0360000000800937,16.634
55.0,526025.665,4694104.676,2.1365000000223517,17.199
56.0,526029.877,4694130.767,3.0095000001601875,20.773
