x,y,z,label
526012.821,4694134.441,13.131,0.0
526012.516,4694132.134,13.147,0.0
526012.331,4694132.385,13.178999999999998,0.0
526015.068,4694131.936,13.194000000000003,0.0
526010.022,4694131.348,13.213999999999999,0.0
526012.353,4694131.962,13.246000000000002,0.0
526015.355,4694131.945,13.25,0.0
526012.493,4694132.193,13.302,0.0
526015.559,4694132.198,13.379999999999999,0.0
526013.237,4694132.232,13.382,0.0
526014.093,4694131.984,13.396,0.0
526015.474,4694132.127,13.471,0.0
526012.713,4694132.717,13.488,0.0
526013.44,4694131.968,13.492,0.0
526013.715,4694131.906,13.497,0.0
526013.166,4694132.332,13.508,0.0
526013.136,4694132.547,13.514,0.0
526013.458,4694132.238,13.526999999999997,0.0
526013.264,4694132.353,13.533000000000001,0.0
526014.029,4694132.032,13.548,0.0
526013.902,4694131.929,13.572,0.0
526013.618,4694132.277,13.614999999999998,0.0
526013.817,4694132.112,13.630000000000003,0.0
526014.135,4694132.367,13.687,0.0
526010.133,4694131.175,13.713,0.0
526012.137,4694131.286,13.713,0.0
526013.617,4694132.217,13.725000000000001,0.0
526012.45,4694134.046,13.726000000000003,0.0
526010.316,4694130.226,13.749,0.0
526012.42,4694130.912,13.787000000000003,0.0
526010.935,4694131.823,13.804000000000002,0.0
526012.483,4694133.833,13.804000000000002,0.0
526010.196,4694130.665,13.825,0.0
526010.251,4694130.357,13.849,0.0
526013.898,4694132.398,13.855,0.0
526012.701,4694133.876,13.876999999999999,0.0
526010.109,4694130.474,13.887,0.0
526014.325,4694132.749,13.919,0.0
526010.959,4694132.066,13.945,0.0
526012.271,4694131.125,13.945999999999998,0.0
526010.188,4694130.829,13.962999999999997,0.0
526011.087,4694132.095,13.983,0.0
526013.489,4694133.524,13.984,0.0
526013.116,4694133.513,13.998999999999999,0.0
526011.048,4694131.816,14.008,0.0
526012.321,4694131.356,14.023999999999997,0.0
526012.522,4694132.939,14.031000000000002,0.0
526014.246,4694132.746,14.04,0.0
526012.47,4694132.969,14.113,0.0
526012.985,4694132.989,14.194,0.0
526015.527,4694132.472,14.202,0.0
526012.82,4694134.006,14.227,0.0
526012.372,4694133.145,14.231000000000002,0.0
526012.746,4694134.01,14.233999999999998,0.0
526012.887,4694133.824,14.246,0.0
526013.118,4694132.889,14.276,0.0
526011.48,4694131.926,14.285999999999998,0.0
526010.666,4694131.569,14.293,0.0
526014.657,4694132.722,14.306,0.0
526013.61,4694132.561,14.310000000000002,0.0
526014.713,4694132.465,14.318000000000001,0.0
526010.461,4694130.739,14.358,0.0
526010.441,4694130.784,14.381999999999998,0.0
526013.401,4694133.26,14.388000000000002,0.0
526012.453,4694133.43,14.393,0.0
526010.39,4694131.517,14.402,0.0
526012.898,4694133.188,14.416,0.0
526010.468,4694131.043,14.42,0.0
526010.617,4694131.304,14.422,0.0
526012.487,4694133.677,14.431000000000001,0.0
526010.429,4694131.361,14.439,0.0
526013.245,4694133.319,14.442,0.0
526013.316,4694133.129,14.462,0.0
526013.205,4694133.219,14.474,0.0
526010.864,4694131.542,14.485,0.0
526012.677,4694133.245,14.533,0.0
526012.552,4694133.259,14.553,0.0
526013.739,4694133.049,14.558,0.0
526013.308,4694133.99,14.558,0.0
526013.446,4694132.555,14.562000000000001,0.0
526013.553,4694132.764,14.586,0.0
526013.112,4694133.886,14.622,0.0
526011.768,4694131.784,14.654,0.0
526011.596,4694131.796,14.674,0.0
526013.355,4694132.891,14.675,0.0
526012.57,4694133.653,14.677,0.0
526013.2,4694134.134,14.707,0.0
526012.798,4694133.654,14.724,0.0
526012.788,4694133.295,14.739,0.0
526013.466,4694134.242,14.832,0.0
526013.844,4694132.898,14.84,0.0
526013.782,4694132.715,14.886,0.0
526011.75,4694131.47,15.001999999999999,0.0
526011.718,4694131.67,15.048,0.0
526011.795,4694131.674,15.056,0.0
526014.992,4694132.756,15.088999999999999,0.0
526012.072,4694131.069,15.102,0.0
526010.782,4694129.985,15.116,0.0
526012.07,4694130.626,15.116,0.0
526010.657,4694130.323,15.118,0.0
526010.65,4694130.247,15.122,0.0
526015.213,4694132.516,15.146,0.0
526014.946,4694132.58,15.154,0.0
526010.827,4694130.133,15.16,0.0
526012.002,4694130.801,15.163,0.0
526011.16,4694131.637,15.199000000000002,0.0
526011.765,4694130.771,15.206,0.0
526011.667,4694131.25,15.206,0.0
526011.366,4694131.51,15.227999999999998,0.0
526011.304,4694129.986,15.229,0.0
526011.221,4694129.994,15.293,0.0
